,,from,to,distance
65287100,65287102,65287100,65287102,120.550621
65287102,65286420,65287102,65286420,151.061884
65287111,65350760,65287111,65350760,52.781218
65287111,7161481043,65287111,7161481043,113.97711
65287125,427891263,65287125,427891263,22.372402
65287128,267456161,65287128,267456161,16.510679
65287128,5429030206,65287128,5429030206,25.394049
65287137,7209255231,65287137,7209255231,22.291596
65287137,7228380511,65287137,7228380511,102.813274
65287147,65311556,65287147,65311556,77.113039
65287171,65287172,65287171,65287172,12.695524
65287172,65309892,65287172,65309892,13.844063
65287176,5435466204,65287176,5435466204,48.405334
65287183,7231068037,65287183,7231068037,66.859837
65287191,65298207,65287191,65298207,58.415606
65287201,1420265746,65287201,1420265746,18.450535
65287201,5434001264,65287201,5434001264,11.975425
65287204,386895626,65287204,386895626,15.590894
65287204,1420265717,65287204,1420265717,16.344571
65287209,1243846520,65287209,1243846520,10.828106
65287209,6945767432,65287209,6945767432,10.630408
65287213,6945726963,65287213,6945726963,7.320856
65287213,6945774659,65287213,6945774659,9.681916
65287216,6945711772,65287216,6945711772,9.56064
65287216,6945724442,65287216,6945724442,7.059573
65287218,5271590114,65287218,5271590114,24.276575
65287218,5433624572,65287218,5433624572,41.180149
65287225,4784302640,65287225,4784302640,96.1943
65287225,8660699837,65287225,8660699837,74.710373
65287229,258759744,65287229,258759744,69.135715
65287232,7301479191,65287232,7301479191,9.711749
65287232,7301483892,65287232,7301483892,7.669223
65287243,4555468211,65287243,4555468211,10.076995
65287243,4784127940,65287243,4784127940,7.346288
65287245,5433622911,65287245,5433622911,101.233037
